,en,zh-tw
0,abatement,減排
1,abnormal position,位置異常
2,absorbent properties,吸水性
3,acan,不是
4,accept information,接受信息
5,achieve authentication,實現認證
6,acid absorption,酸吸收
7,ack,確認
8,acoustooptic modulator,聲光調製器
9,acrylate groups,丙烯酸酯基團
10,activating position,激活位置
11,acylate with acids,用酸酰化
12,adapt for learning,適應學習
13,adaptive linear,自適應線性
14,adhesive mounting,粘合劑安裝
15,adjacent laterally,橫向相鄰
16,adjust gas flow,調節氣體流量
17,adjustable multiple,可調倍數
18,aesthetic effects,美學效果
19,agitate means,攪動的意思
20,air flow line,空氣流線
21,air vent openings,通風口
22,align with input shaft,與輸入軸對齊
23,alpha gypsum,阿爾法石膏
24,alphatic,字母
25,aluminium compounds,鋁化合物
26,alumino silicates,鋁矽酸鹽
27,ammonia recovery,氨回收
28,androgen receptor modulators,雄激素受體調節劑
29,angular contact bearing,角接觸軸承
30,animal fats,動物脂肪
31,annular ends,環形端
32,annular neck,環形頸
33,antiatherosclerotic,抗動脈粥樣硬化
34,antidiuretic,抗利尿劑
35,antigen composition,抗原成分
36,apart elongated,分開拉長
37,application messaging,應用程序消息
38,apply on tube,適用於管
39,apply to anode electrode,適用於陽極電極
40,apply to muscle,適用於肌肉
41,apply to requests,適用於請求
42,appropriate adjustment,適當的調整
43,aralkynyl,芳炔基
44,arc type,弧型
45,arcade,拱廊
46,arcuate means,弓形手段
47,arm design,手臂設計
48,arm roller,臂輥
49,arrange in fashion,時尚地安排
50,associated log,關聯日誌
51,automatic coffee,自動咖啡
52,auxiliary water,輔助水
53,average impact,平均影響
54,average pore size,平均孔徑
55,average power ratio reduction,平均功率比降低
56,axial extension,軸向延伸
57,axle boxes,軸箱
58,azabicyclo,氮雜雙環
59,bandedge,帶邊
60,base fuels,基礎燃料
61,based interpolation,基於插值
62,based method,基於方法
63,based propellant,基於推進劑
64,based writing,基於寫作
65,battery cell assembly,電池組件
66,battery heater,電池加熱器
