,0
curved bars,彎條
curvilinear valve pin,曲線閥銷
passport booklets,護照本
roller means,滾輪裝置
spider web,蜘蛛網
transfer paper web,轉移紙網
transfer support web,轉移支持網絡
transfer to web,轉移到網絡
transferring web,轉移網絡
transverse stretcher blades,橫向擔架刀片
web connection,網絡連接
web development,Web開發
web guide,網絡指南
web is transferred,網絡已轉移
web programming,網絡編程
web series,網絡系列
web shifting,網絡轉移
web system,網絡系統
web transfer,網絡傳輸
web transfer device,網絡傳輸設備
web transfering,網絡傳輸
transfer from web,從網絡轉移
transfer web,轉移網絡
arranged into web,整理成網
drained water,排水
information transfer,信息傳遞
loop path,循環路徑
pulp mixture,紙漿混合物
tail threading,尾部穿線
transfer forcep,轉移鉗
web designing,網頁設計
web file,網頁文件
web forming,成網
web of pulp fibers,紙漿纖維網
web transfer belt,捲筒紙傳送帶
web transfer fabric,捲筒紙轉移織物
web transport,網絡傳輸
webbing tape,織帶膠帶
website,網站
wet paper web transfer belt,濕紙幅傳送帶
cable joiner,電纜連接器
control cuff,控制袖帶
counter gripping element,反夾持元件
dislodge device,移出裝置
fitting unit,擬合單元
guiding element,引導元件
hand holding,手握
metal device,金屬裝置
wedge,楔
wedge arrangement,楔形排列
wedge components,楔形組件
wedge devices,楔形裝置
wedge flip flops,楔形人字拖
wedge gear,楔形齒輪
wedge heels,坡跟鞋
wedge pillow,楔形枕頭
wedge sneakers,坡跟運動鞋
wedging wedge,楔形楔
attachment device,連接裝置
automatic gearbox,自動變速箱
bearing bush,軸承襯套
cable connector,電纜連接器
clean device,清潔裝置
connector unit,連接器單元
ecg device,心電圖設備
eye monitoring device,眼睛監控裝置
forcefully attach,強行附加
human assembly,人類組裝
joiner,細木工
joining unit,加盟單位
spacer reducing wedge device,間隔變窄楔裝置
thrust washer,止推墊圈
wedge device,楔形裝置
wedge device inside,內楔裝置
wedge eyeshadow brush,楔形眼影刷
wedge lifting device,楔形提升裝置
device surface,設備表面
prism device,棱鏡裝置
wedge layer,楔層
cutting device,切割裝置
wedge member,楔形構件
wedge shape device,楔形裝置
wedge shape devices,楔形裝置
wedge shaped device,楔形裝置
wedge shaped devices,楔形裝置
wedges shape device,楔形裝置
wedges shaped device,楔形裝置
wedges shaped devices,楔形裝置
excellent weldability,優良的焊接性
ability to be welded,焊接能力
alloys,合金
castability,可鑄性
fabric cotton,布料 棉
formability,成型性
friction weldability,摩擦焊接性
good weldability,良好的焊接性
impact properties,衝擊特性
impact resistance,抗衝擊性
joinability propertiy,可連接性
laser weldability,激光焊接性
partitioning,分區
permeability,滲透性
primers,引物
processability,可加工性
steel sheets,鋼板
ultrasonic heating,超聲波加熱
ultrasonic welding,超聲波焊接
ultrasound welding,超聲波焊接
welding ability,焊接能力
wetting,潤濕
fatigue properties,疲勞特性
spot weldability,點焊性
wear properties,磨損性能
melting,融化
heat resistance,耐熱性
improve weldability,提高可焊性
workability,可加工性
anti freezing control,防凍控制
attach two iron plates,附上兩塊鐵板
bad corrosion,腐蝕不良
bad weldability,可焊性差
bonding,粘合
common material welding,普通材料焊接
detecting cracks,檢測裂縫
feeder weld area,冒口焊接區
freezing point depressant,冰點抑製劑
good bad,好壞
high temperature sagging resistance,耐高溫下垂性
pipe weld inspection,管道焊縫檢查
plate separation,板分離
separate,分離
surface insulation coating,表面絕緣塗層
tack weld plastic,點焊塑料
vapor liquid separation,汽液分離
welding flux,焊劑
welding shop,焊接車間
oil well pump,油井泵
submersible well pump,潛水井泵
compressor pump,壓縮機泵
diaphragm pump,隔膜泵
gear motor,齒輪馬達
gear pump,齒輪泵
hydraulic compressor,液壓壓縮機
piston motor,活塞馬達
piston pump,活塞泵
well pumping,抽井
wellhead,井口
aeroplane jet,飛機噴氣機
centrifugal force,離心力
collects water,收集水
cutter assembly,刀具總成
electric pump,電動泵
fracturing with telescoping member,伸縮構件壓裂
hydraulic jet pump,液壓噴射泵
lubricant oil well pumps,潤滑油井泵
no go device,不走設備
pump from well,從井中抽水
reciprocal well pump,往復井泵
well,出色地
well blood flow,良好的血流
well fluid flow pump,井液流量泵
well medical equipment,好醫療設備
well pump,井泵
well pumps,井泵
well tissue culture,孔組織培養
well treating system,井處理系統
deep well pump,深井泵
down hole pump,井下泵
jack fruit,傑克水果
mud flap,擋泥板
mud manifold,泥漿管匯
mud separator,泥漿分離器
pump wprkout,泵輸出
pumping apparatus,泵送裝置
pumping jack,抽油煙機
pumpkin,南瓜
rig pump,鑽機泵
time pump,時間泵
time table,時間表
underground pump,地下泵
welldone,做得好
drilling motor,鑽孔電機
drilling pump,鑽井泵
hydraulic motor,液壓馬達
pneumatic mechanism,氣動機構
pneumatic motor,氣動馬達
servomotor,伺服電機
well drilling pump,鑽井泵
well motor,井電機
well pump motor,井泵電機
well system,井系統
color marker,顏色標記
customer id,客戶ID
person identity,個人身份
person indication,人物指示
person indication number,人員指示編號
retina scan,視網膜掃描
size doubled,大小翻倍
thumbs,大拇指
whose,誰的
whose color,誰的顏色
whose operation,誰的操作
whose size,誰的大小
whose the operation,誰的操作
zero identity data,零身份數據
grid wire,網格線
light polarizing,光偏振
polarization polarizing,極化極化
wire grid polarizer,線柵偏振器
wire grid polarizers,線柵偏振器
disc holder,圓盤架
grid cable,網格電纜
grid cable polarization,電網電纜極化
grid conductor polarize,柵導體極化
grid of wire,網格線
grid paper,網格紙
grid polarization,網格極化
holographic wire polarizers,全息線偏振器
live wire,火線
non polarized wire grid,非極化線柵
path polarization,路徑極化
polarization,極化
top side of the stand,支架的頂部
wire chair,鋼絲椅
wire grid polarization beamsplitter,線柵偏振分束器
wire grid polarization device,線柵極化裝置
wire grid polarization instrument,線柵偏振儀
wire grid polarization plate,線柵偏光板
wire grid wall,線柵牆
wire transfer,電匯
wires grid polarization,電線網格極化
collection event,收集事件
conductive wiring,導電線路
grating polarization,光柵極化
grid ceiling,網格天花板
grid polarizer,柵偏光片
