index,en,zh-tw
0,abatement of pollution,減少污染
1,act of abating,減輕行為
2,active catalyst,活性催化劑
3,eliminating process,消除過程
4,forest region,林區
5,greenhouse gases,溫室氣體
6,increased rate,增加率
7,measurement level,測量水平
8,minimising sounds,最小化聲音
9,mixing core materials,混合芯材
10,multi pollution abatement device,多污染減排裝置
11,noise reduction,降噪
12,pollution abatement,污染減排
13,pollution abatement incinerator,污染減排焚化爐
14,pollution certificate,污染證書
15,rent abatement,減租
16,sorbent material,吸附材料
17,source items pollution abatement technology,源項污染減排技術
18,stone abutments,石基台
19,tax abatement,減稅
20,water bodies,水體
21,emission abatement,減排
22,prevention,預防
23,prophylaxis,預防
24,abatement apparatus,減排裝置
25,treatment,治療
26,abating,減少
27,central hub,中心樞紐
28,control panel,控制面板
29,deficiency,不足
30,diminished chord,減和弦
31,diminished image,縮小的圖像
32,diminishing,遞減
33,eliminating,消除
34,eliminating emissions,消除排放
35,eliminating pollutants,消除污染物
36,increasing,增加
37,increasing order,遞增順序
38,mitigation,減輕
39,pollution control,污染控制
40,processing unit,處理單元
41,removing air pollutants,去除空氣污染物
42,subsiding,下沉
43,treating emissions,處理排放物
44,noise abatement,降噪
45,abnormal position data,異常位置數據
46,attitude,態度
47,closed position shown,顯示的關閉位置
48,condition illustrated,圖示條件
49,condition shown,顯示狀態
50,data,數據
51,information,信息
52,inoperative condition,不工作狀態
53,inoperative position,無效位置
54,open as shown,如圖所示打開
55,open condition,打開條件
56,open position,開倉
57,open position illustrated,圖示打開位置
58,open position shown,所示打開位置
59,orientation,方向
60,position illustrated,圖示位置
61,position shown,所示位置
62,tip data,提示數據
63,tip information,提示信息
64,wear data,磨損數據
65,angular position,角位置
66,positions,職位
67,abnormal breathing,呼吸異常
68,abnormal manner,異常方式
69,abnormal placement,異常放置
70,abnormal posture,姿勢異常
71,abnormal profit,異常利潤
72,abnormal side,異常的一面
73,anomaly scan,異常掃描
74,depression,沮喪
75,deviated from,偏離
76,engagement,訂婚
77,implant positioning,種植體定位
78,irregular configuration,不規則配置
79,locked position,鎖定位置
80,locked relationship,鎖定關係
81,normal position,正常位置
82,odd position,奇數位置
83,place,地方
84,position,位置
85,position isomerism,位置異構
86,position vector,位置向量
87,rare placement,罕見的安置
88,recess,凹槽
89,relative position,相對位置
90,relative relationship,相對關係
91,situation,情況
92,unexpected position,意外的位置
93,unison,齊聲
94,unusal arrangement,不尋常的安排
95,unusual manner,不尋常的方式
96,abnormal,異常
97,abnormal condition,異常情況
98,abnormal molar mass,異常摩爾質量
99,abnormal presentations,異常表現
100,abnormal psychology,變態心理
101,abnormality state,異常狀態
102,axial position,軸向位置
103,elevation,海拔
104,emergency condition,緊急情況
105,emergency position,緊急位置
106,extent,程度
107,facing forward,面向前方
108,failure,失敗
109,fault position,故障位置
110,fixed failure,固定故障
111,forward axis,前軸
112,hardware abnormality,硬件異常
113,hardware manufacturer,硬件製造商
114,leakage,洩漏
115,operating abnormality,運行異常
116,operative position,手術位置
117,overflow,溢出
118,state name,州名
119,unusual position,不尋常的位置
120,unusual state,異常狀態
121,upper position,上位
122,warning,警告
123,adsorbent properties,吸附性能
124,cao,曹
125,characterization,表徵
126,collateral properties,抵押財產
127,colligative properties,依數性
128,conformational properties,構象性質
129,dehumidifying properties,除濕性能
130,elastomeric properties,彈性特性
131,evaporated salt,蒸發鹽
132,fluorescent properties,熒光特性
133,geometrical properties,幾何特性
134,housing properties,房屋物業
135,hygroscopic,吸濕性
136,hygroscopic properties,吸濕性
137,ionic compound,離子化合物
138,liquid holding capacity,持液能力
139,mechanical characteristics,機械特性
140,mechanical properties,機械性能
141,moisture barrier properties,防潮性能
142,moisture proof properties,防潮性能
143,nacl,氯化鈉
144,naoh,呸
145,physical properties,物理性質
146,properties,特性
147,reusable salt,可重複使用的鹽
148,soaking properties,浸泡特性
149,absorbency,吸水性
150,absorbent characteristics,吸水特性
151,absorbing polymer,吸收聚合物
152,absorption characteristics,吸收特性
153,absorption properties,吸收特性
154,adsorption performance,吸附性能
155,capable of absorbing,能夠吸收
156,characteristic,特徵
157,desiccant,乾燥劑
158,dielectric properties,介電特性
159,food absorption,食物吸收
160,mechanical resistance,機械阻力
161,metal properties,金屬特性
162,moisture,水分
163,optical properties,光學特性
164,performance,表現
165,physical resistance,物理阻力
166,physiological properties,生理特性
167,plastic properties,塑料性能
168,polymer,聚合物
169,samples,樣品
170,soaking,浸泡
171,sponge,海綿
172,water,水
173,water penetration capacity,透水能力
174,amount,數量
175,formation,形成
176,strength,力量
177,aggrecan core protein,聚集蛋白聚醣核心蛋白
178,aggrecan core protein precursor,聚集蛋白聚醣核心蛋白前體
179,cartilage extracellular matrix,軟骨細胞外基質
180,cartilage specific proteoglycan core protein,軟骨特異性蛋白聚醣核心蛋白
181,chondroitin sulfate proteoglycan 1,硫酸軟骨素蛋白聚醣1
182,coding language,編碼語言
183,coding languages,編碼語言
184,coding programming,編碼編程
185,core strength,核心力量
186,gene,基因
187,genes,基因
188,hyalectans,透明質酸
189,large aggregating proteoglycan,大聚集蛋白聚醣
190,lecticans,講課的時候
191,machine learning,機器學習
192,neural network,神經網絡
193,precursor,前體
194,protein,蛋白質
195,protein coding gene,蛋白質編碼基因
196,proteins,蛋白質
197,proteoglycans,蛋白聚醣
198,sox,短襪
199,tissue expression,組織表達
200,accept the establishment,接受設立
201,accept this information,接受此信息
202,acceptance angle,接受角
203,accepting information from,接受來自的信息
204,approve information,批准信息
205,authorization of information,信息授權
206,behaviour information analysis,行為信息分析
207,contain information,包含信息
208,contain items,包含項目
209,data accepted,接受的數據
210,data set,數據集
211,display,展示
212,display a data,顯示數據
213,display a information,顯示信息
214,display an information,顯示信息
215,display data,顯示數據
216,display information,顯示信息
217,indicate a data,表示一個數據
218,indicate data,指示數據
219,indicate information,指示信息
220,informal letter,非正式的信
221,information data,信息數據
222,information processing apparatus,信息處理裝置
223,information storage,信息存儲
